Entity,Frequency
one,99
two,80
tonight,66
first,52
un,47
three,31
dans,27
ten,27
five,26
half,24
today,23
four,21
где,18
another day,18
будто,17
mnie,16
tomorrow,15
bada bambambambam,15
fallin,15
six,14
the night,13
hundred,12
second,12
mimi,12
new york city,11
ps,11
late nights,11
one day,10
night,10
english,10
tellin,10
new york,9
jesus,9
bez,9
atlanta,9
42,8
jak agrest,8
fourteen,8
миллион,8
los angeles,8
деньги,8
all night,8
california,8
the middle of june,8
a hundred,8
pachnie skunem,8
ho,8
nine,8
paris,8
georgia,7
lipsi,7
dick make,7
every day,7
a minute,7
ogniska,7
findin peace,6
every night,6
the day,6
bustin,6
çok,6
hours,6
jack,6
twenty,6
miami,6
bleib,6
another black summer,6
моё трачу,6
junya,6
august,6
40,6
the worst day,6
fuckin round actin brand,6
louis v,5
сука в,5
nights,5
mmmm,5
badaba,5
summer,5
lotta,5
1035,5
2020,5
third,5
ya cógela,5
nardo,5
под,5
seven,5
mike,5
callin,5
two big 40s,5
s blueberry,5
this holiday,5
casa,5
wifey,5
dynnanana nana,5
fifty,5
badada badada,4
michael jackson,4
zeros,4
eight,4
la,4
