Entity,Frequency
one,437
tonight,282
two,277
first,223
all night,125
ya,109
three,106
ten,85
four,81
today,80
un,78
six,62
half,61
the night,60
the day,60
new york,59
feelin,57
callin,56
second,54
a minute,53
one day,51
five,49
night,46
last night,45
hundred,43
jesus,42
fallin,42
all day,41
tomorrow,41
6,38
xans,37
cinderella,36
ho,36
the late night,35
tellin,35
tuesday,33
wonton,32
2,32
millions,31
12,31
dans,31
eight,30
oakland,29
the morning,28
40,27
hamilton,27
twenty,26
every day,26
fifty,26
nights,26
9,25
summer,25
kendrick,25
a hundred,25
million,24
paris,24
nine,24
every night,23
la,23
ballin,23
wifey,23
mike,23
dem,22
atlanta,22
the weekend,22
one night,21
a thousand,21
french,21
texas,21
bustin,21
america,21
yesterday,20
под,20
friday,20
costa rica,19
havana,18
10,18
hundreds,18
london,18
n’t,18
miami,18
mans,18
the days,17
this year,17
sunday,17
100,17
the summer,17
seven,17
thirty,16
eighty,16
asian,15
rollin,15
these days,15
21,15
detroit,15
last year,15
24,15
congress,15
percocets,14
kanye,14
